Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,15 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,24 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,26 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,23 May - 20Jun 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,18 Jul.–15 Aug. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,15 Aug.–12 Sep. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°01.830′ N,66°53.042′ W,Jun.–Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,18 Jul.–15 Aug. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,15 Aug.–12 Sep. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,12 Sep.–10 Oct. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,20 Jun.–18 Jul. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.724′ N,66°53.386′ W,5 Nov.–5 Dec. 2014,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°08.371′ N,66°49.230′ W,12 Feb.–12 Mar. 2015,Yauco,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,20 Mar. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,18 Apr. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.982′ N,64°41.701′ W,20 Mar. 2013,"St. Croix, Anna’s Hope Village",US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,1940,Christiansted,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°44.263′ N,64°47.920′ W,18 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°44.263′ N,64°47.920′ W,6 jun 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°43.186′ N,64°48.701′ W,21 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°43.186′ N,64°48.701′ W,21 Mar. 2013,Northcentral,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.397′ N,64°50.022′ W,19 Mar. 2013,Southwest,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°42.397′ N,64°50.022′ W,19 Mar. 2013,Southwest,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.7858° N,64.6269° W,13 Aug. 2010,Buck Island Reef National Monument,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.7802° N,64.7616° W,13 Aug. 2010,Buck Island Reef National Monument,US Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,17 oct 1992,Anegada Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,29 Sep. 2006,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,6 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,8 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,21 oct 2001,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,16 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,17 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,20 oct 2009,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,5 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,15 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,19 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,21 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,23 oct 1991,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,26–27 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,11 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,13–14 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,17–19 Oct. 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°29ʹ N,64°34ʹ W,8 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°29ʹ N,64°34ʹ W,9 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,28 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°29ʹ N,64°34ʹ W,22 Apr. 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°29ʹ N,64°34.4ʹ W,23 Apr. 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°28.7ʹ N,64°34ʹ W,28 jun 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,18 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,25 oct 1992,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,Jan. 2002,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°29ʹ N,64°34ʹ W,5 jul 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°28.7ʹN,64°34ʹ W,9 jul 1993,Guana Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,21 jul 1987,Necker Island,British Virgin Islands
J.Gibb 2018,Lasioglossum (Dialictus) Amona,NA,NA,5 Apr. 1944,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,NA,NA,30 May 1963,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,NA,NA,19-26 Jan 2001,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,NA,NA,11 nov 1992,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) Amona,NA,NA,28-30 Oct 1991,Mona,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) enatum,17°58.994′ N,67°08.455′ W,12-16 May,Cabo Rojo,Puerto Rico
