"","Source","Species","Latitud","Longitud","Date","Location","State.Islands"
"66","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2472222222222,66.895,"23 May - 20Jun 2014","Yauco","Puerto Rico"
"67","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2472222222222,66.895,"20 Jun.–18 Jul. 2014","Yauco","Puerto Rico"
"68","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2472222222222,66.895,"18 Jul.–15 Aug. 2014","Yauco","Puerto Rico"
"69","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2472222222222,66.895,"15 Aug.–12 Sep. 2014","Yauco","Puerto Rico"
"70","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2472222222222,66.895,"Jun.–Jul. 2014","Yauco","Puerto Rico"
"71","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"20 Jun.–18 Jul. 2014","Yauco","Puerto Rico"
"72","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"18 Jul.–15 Aug. 2014","Yauco","Puerto Rico"
"73","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"15 Aug.–12 Sep. 2014","Yauco","Puerto Rico"
"74","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"12 Sep.–10 Oct. 2014","Yauco","Puerto Rico"
"75","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"20 Jun.–18 Jul. 2014","Yauco","Puerto Rico"
"76","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3177777777778,66.9905555555556,"5 Nov.–5 Dec. 2014","Yauco","Puerto Rico"
"77","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.2363888888889,66.8805555555555,"12 Feb.–12 Mar. 2015","Yauco","Puerto Rico"
"78","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.9727777777778,64.8780555555556,"20 Mar. 2013","St. Croix, Anna’s Hope Village","US Virgin Islands"
"79","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.9727777777778,64.8780555555556,"18 Apr. 2013","St. Croix, Anna’s Hope Village","US Virgin Islands"
"80","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.9727777777778,64.8780555555556,"20 Mar. 2013","St. Croix, Anna’s Hope Village","US Virgin Islands"
"81","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.3419444444444,65.3488888888889,"1940","Christiansted","US Virgin Islands"
"82","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.8063888888889,65.0388888888889,"18 Mar. 2013","Northcentral","US Virgin Islands"
"83","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.8063888888889,65.0388888888889,"6 jun 2013","Northcentral","US Virgin Islands"
"84","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.7683333333333,64.9947222222222,"21 Mar. 2013","Northcentral","US Virgin Islands"
"85","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.7683333333333,64.9947222222222,"21 Mar. 2013","Northcentral","US Virgin Islands"
"86","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.8102777777778,64.8394444444444,"19 Mar. 2013","Southwest","US Virgin Islands"
"87","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",17.8102777777778,64.8394444444444,"19 Mar. 2013","Southwest","US Virgin Islands"
"88","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",147.966666666667,168.483333333333,"13 Aug. 2010","Buck Island Reef National Monument","US Virgin Islands"
"89","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",147.033333333333,190.933333333333,"13 Aug. 2010","Buck Island Reef National Monument","US Virgin Islands"
"90","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.2191666666667,64.5666666666667,"17 oct 1992","Anegada Island","British Virgin Islands"
"91","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"29 Sep. 2006","Guana Island","British Virgin Islands"
"92","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"6 oct 2009","Guana Island","British Virgin Islands"
"93","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8113888888889,64.9333333333333,"8 oct 2009","Guana Island","British Virgin Islands"
